内容,博主,片段类型,情绪,内容指纹,质量评分,状态,逻辑公式,风格标签
渣渣灰，不要太妇女之友,banfo,金句语录,消极,b21907d5a4668931ae924913da74c3f4,3.0,待处理,直接否定,逻辑
成了是应该的，没成那就是我还不够努力，还要继续大力出奇迹。,banfo,金句语录,激昂,b470e32a6ab7c61be22b127e4f8b62bb,8.0,待处理,自我归因 + 行动激励,逻辑
直男最大的特点，说好听了叫坚持，说不好听那就是执拗，喜欢找准一条路莽穿。坏处是费劲，短期内收益率低。好处是只要扛过了起步阶段，证明了自己，那接下来就是绝杀。,banfo,正文段落,中性,a2bfde210bd50b993fe7ab20ce951d83,7.0,待处理,辩证分析 + 长期主义,逻辑
什么营销，不做！什么广告，不打！咱们今天不玩虚的，我就是踏踏实实做粉，一门心思研发。,banfo,金句语录,激昂,6735a83c4f77e9eba28922e26b655f62,8.0,待处理,反套路宣言 + 聚焦核心,逻辑
专心到用户都开骂了，说你这个包装看起来没食欲，光是看都看饱了。但那又怎么样，真男人就是要打直球。,banfo,正文段落,激昂,5074dc936eab7477b9f34b17f3bf6ced,7.0,待处理,先抑后扬 + 价值观输出,逻辑
虽然我啥也不知道，在食品行业一点经验都没有；虽然我连目标用户都没搞清楚，由着性子一顿乱来。但我知道给你把粉放得扎扎实实，促销打到明明白白，那最后赢的人还是我。,banfo,正文段落,激昂,f271b71eb2b790c97c3bf0c0e685672f,7.0,待处理,承认短板 + 突出长板 + 自信宣言,逻辑
这个做法太直男了，太不狡猾了，太不投机取巧了。但现在你是用户，你吃过太多花里胡哨的亏，买过太多包装诱人味道拉胯的食物，遇到过太多现代食品工业的海克斯科技。然后骤然遇到了这个直男到不知道装模作样的奇葩品牌。请问你是愿意继续为花里胡哨买单，还是愿意买一看就很老实，给你把味道做到极致、把粉装得足足的？,banfo,正文段落,激昂,b531f72533fdb4521dac5e45142f5ddd,8.0,待处理,制造对比 + 引发共鸣 + 引导选择,"共情,对比"
三年杀到品类第一的销售数据，证明了用户的选择，也证明了直男的力量。,banfo,正文段落,积极,8f0250a07f8d5cfae2cbf86b6f10395a,7.0,待处理,结果论证 + 价值升华,逻辑
我都直男到这个地步了，甚至连最基础的外观都不知道怎么诱导你，难道我还会糊弄你。你不需要信任我的人品，你只需要知道直男那简单的脑回路里，就没有骗人这个概念。,banfo,正文段落,激昂,f1adda2b9b950c66db631ed4667d31ac,8.0,待处理,极端化表达 + 逻辑推导建立信任,逻辑
用户吐槽归吐槽，但只要知道我是真心想做好，知道我没坑他/她，那就还是会选我。就好像我那个送错礼物的直男朋友，他女朋友骂归骂，但内心绝对是开心大于生气的，因为他真的愿意关注她，战术错了，但战略对了。看似礼物错了，但心意拉满了。,banfo,正文段落,积极,a42a00d5216ff733b1050b70c0efdf27,8.0,待处理,类比论证 + 情感共鸣,"共情,煽情"
毕竟，直男的“直”，只要在下面加上两撇，就会变成真心的“真”。,banfo,金句语录,积极,17e4a469165598ef37c582a030e59622,9.0,待处理,文字游戏 + 价值升华,逻辑
游戏圈有个段子，如果游戏在放假的时候出了bug，是应该叫程序员连夜爬起来修，还是等放完假再修？都不对。正确答案是只要发的游戏补偿足够多，玩家会顶着bug继续玩。什么BUG？那叫用户福利！,banfo,正文段落,激昂,642d3adc9e2ffafc346e763c3da13c14,8.0,待处理,故事引入 + 颠覆认知 + 金句收尾,逻辑
用户感情是最玄学也最实在的，你不让利，想靠口号和文案讨好用户，那真是千难万难。直男玩家们就是最不吃这套的，你别给我整那么多花里胡哨，就问你送多少钻石。但直男玩家们也是最好哄的，只要你不是说说而已，而是真的是在送福利，那不需要什么煽情话语和华丽词藻，大家一样会认。,banfo,正文段落,中性,a70444358b75ffe2018268de57100639,7.0,待处理,洞察用户心理 + 行为模式总结,逻辑
谁说直男不解风情，其实他们只是不爱挂在嘴上。要么啥也不说，要么就是动真格的，让用户实实在在感受到诚意。诚意怎么体现，靠福利，靠便宜。,banfo,正文段落,积极,cc5da3c37a6559ecdb0d58ade8c12b39,7.0,待处理,反驳刻板印象 + 行动定义,逻辑
